타임스탬프,하루 평균 수면 시간은?,하루 핸드폰 사용 시간은?,하루 평균 컴퓨터 이용 시간은?,하루 평균 운동 시간은?,"  하루 평균 카페인 섭취량은? (예: 커피, 에너지 음료) 
  단, 몬스터와 톨 사이즈 커피는 1잔에 355ml"
2024. 11. 28 오후 5:41:21,4~5 시간,2~3시간,1~2시간,운동을 하지 않음,전혀 섭취하지 않는다
2024. 11. 29 오전 11:51:56,5~6 시간,3시간 이상,3시간 이상,약 30분,1잔 미만
2024. 11. 29 오전 11:54:38,7시간 이상,3시간 이상,1~2시간,약 30분,전혀 섭취하지 않는다
2024. 11. 29 오후 12:13:55,5~6 시간,1~2시간,2~3시간,1시간~1시간 30분,1~2잔
2024. 11. 29 오후 12:14:56,5~6 시간,3시간 이상,2~3시간,30분~1시간,1~2잔
2024. 11. 29 오후 12:16:04,4~5 시간,2~3시간,3시간 이상,약 30분,전혀 섭취하지 않는다
2024. 11. 29 오후 12:25:09,6~7 시간,3시간 이상,1~2시간,1시간~1시간 30분,1~2잔
2024. 11. 29 오후 12:37:32,5~6 시간,2~3시간,2~3시간,30분~1시간,전혀 섭취하지 않는다
2024. 11. 29 오후 1:04:37,7시간 이상,1~2시간,1~2시간,약 30분,전혀 섭취하지 않는다
2024. 11. 29 오후 1:15:12,3시간 이하,1시간 이하,1시간 이하,운동을 하지 않음,전혀 섭취하지 않는다
2024. 11. 29 오후 2:24:21,7시간 이상,3시간 이상,3시간 이상,2시간 이상,전혀 섭취하지 않는다
2024. 11. 29 오후 2:43:59,5~6 시간,3시간 이상,2~3시간,약 30분,1잔 미만
2024. 11. 29 오후 3:01:50,5~6 시간,2~3시간,1~2시간,약 30분,1~2잔
2024. 11. 29 오후 3:59:52,5~6 시간,2~3시간,1시간 이하,운동을 하지 않음,전혀 섭취하지 않는다
2024. 11. 29 오후 4:58:26,5~6 시간,3시간 이상,3시간 이상,1시간~1시간 30분,1~2잔
2024. 11. 29 오후 5:01:28,5~6 시간,3시간 이상,1~2시간,1시간~1시간 30분,전혀 섭취하지 않는다
2024. 11. 29 오후 5:15:36,6~7 시간,2~3시간,1시간 이하,약 30분,전혀 섭취하지 않는다
2024. 11. 29 오후 6:33:45,6~7 시간,2~3시간,1~2시간,30분~1시간,1잔 미만
2024. 11. 30 오전 9:56:15,5~6 시간,3시간 이상,2~3시간,운동을 하지 않음,1잔 미만
2024. 11. 30 오후 8:38:31,6~7 시간,2~3시간,2~3시간,30분~1시간,1잔 미만
2024. 11. 30 오후 8:39:05,3시간 이하,3시간 이상,1시간 이하,2시간 이상,전혀 섭취하지 않는다
2024. 11. 30 오후 8:39:36,6~7 시간,1~2시간,1시간 이하,약 30분,1잔 미만
2024. 11. 30 오후 8:59:13,6~7 시간,2~3시간,1~2시간,운동을 하지 않음,전혀 섭취하지 않는다
2024. 11. 30 오후 9:23:08,3시간 이하,3시간 이상,3시간 이상,운동을 하지 않음,3~4잔
2024. 11. 30 오후 9:26:02,7시간 이상,3시간 이상,2~3시간,약 30분,전혀 섭취하지 않는다
2024. 12. 1 오전 12:33:41,3~4 시간,2~3시간,3시간 이상,운동을 하지 않음,1~2잔
2024. 12. 1 오전 12:52:37,3~4 시간,2~3시간,2~3시간,약 30분,1잔 미만
2024. 12. 1 오전 12:54:13,6~7 시간,3시간 이상,1~2시간,약 30분,1잔 미만
2024. 12. 1 오전 1:21:47,5~6 시간,1~2시간,1~2시간,1시간~1시간 30분,전혀 섭취하지 않는다
2024. 12. 1 오전 9:22:29,3~4 시간,1~2시간,3시간 이상,운동을 하지 않음,1~2잔
2024. 12. 1 오후 2:45:43,3시간 이하,2~3시간,1~2시간,약 30분,3~4잔
2024. 12. 1 오후 5:37:09,3~4 시간,3시간 이상,3시간 이상,약 30분,1~2잔
2024. 12. 1 오후 5:37:29,3시간 이하,3시간 이상,1시간 이하,운동을 하지 않음,1~2잔
2024. 12. 1 오후 5:47:07,7시간 이상,3시간 이상,1시간 이하,2시간 이상,전혀 섭취하지 않는다
2024. 12. 1 오후 5:47:38,3~4 시간,3시간 이상,1시간 이하,운동을 하지 않음,1~2잔
2024. 12. 1 오후 7:23:22,5~6 시간,3시간 이상,1시간 이하,운동을 하지 않음,전혀 섭취하지 않는다
2024. 12. 1 오후 7:31:14,5~6 시간,3시간 이상,3시간 이상,약 30분,전혀 섭취하지 않는다
2024. 12. 1 오후 7:32:34,4~5 시간,1~2시간,1시간 이하,운동을 하지 않음,1잔 미만
2024. 12. 1 오후 7:35:02,4~5 시간,2~3시간,1~2시간,약 30분,전혀 섭취하지 않는다
2024. 12. 1 오후 7:35:11,3~4 시간,3시간 이상,1시간 이하,30분~1시간,1잔 미만
2024. 12. 1 오후 7:40:04,5~6 시간,2~3시간,1시간 이하,운동을 하지 않음,1잔 미만
2024. 12. 1 오후 7:50:30,6~7 시간,3시간 이상,1시간 이하,운동을 하지 않음,전혀 섭취하지 않는다
2024. 12. 1 오후 7:50:36,5~6 시간,1~2시간,1시간 이하,약 30분,전혀 섭취하지 않는다
